video,label,n_frames,mean_snr_db,mean_bpm,bpm_agreement,snr_chrom,snr_pos,bpm_chrom,bpm_pos
000.mp4,real,198,16.600279622899443,72.72727272727272,54.54545454545455,25.366051399799765,7.834507845999118,100.0,45.45454545454545
001.mp4,real,230,15.687812429684852,90.0,62.60869565217392,24.22011522574712,7.155509633622586,121.30434782608697,58.69565217391305
002.mp4,real,300,21.050000747644553,82.5,75.0,29.465264980045372,12.634736515243736,120.0,45.0
003.mp4,real,152,10.886433159240848,79.9342105263158,53.28947368421053,14.755536325815514,7.017329992666184,106.57894736842105,53.28947368421053
004.mp4,real,155,16.01081801709306,87.09677419354838,0.0,23.306219668188742,8.715416365997381,87.09677419354838,87.09677419354838
005.mp4,real,193,17.773820612501975,51.295336787564764,0.0,23.041669727202724,12.505971497801227,51.295336787564764,51.295336787564764
006.mp4,real,155,14.03446149153968,75.48387096774194,0.0,20.78028040895572,7.288642574123641,75.48387096774194,75.48387096774194
007.mp4,real,253,15.57054882268499,87.15415019762845,67.5889328063241,23.10443838114115,8.036659264228831,120.9486166007905,53.3596837944664
008.mp4,real,300,18.03288324162566,45.0,0.0,26.959900724280764,9.105865758970555,45.0,45.0
009.mp4,real,294,19.055043740585447,59.6938775510204,3.0612244897959187,27.278577093328664,10.831510387842231,61.22448979591836,58.16326530612244
010.mp4,real,237,17.089526891562954,68.35443037974684,0.0,22.804598108217647,11.374455674908262,68.35443037974684,68.35443037974684
011.mp4,real,300,17.468702734382322,75.0,0.0,24.764776282866126,10.172629185898517,75.0,75.0
012.mp4,real,182,16.466493085681996,79.12087912087912,49.45054945054946,24.365758686799065,8.56722748456493,103.84615384615385,54.395604395604394
013.mp4,real,166,18.23787091752927,78.6144578313253,48.79518072289157,27.347032586731906,9.12870924832664,103.01204819277109,54.21686746987952
014.mp4,real,300,24.185011633987372,48.0,0.0,33.296051467898394,15.073971800076347,48.0,48.0
015.mp4,real,219,15.908856267500358,53.42465753424658,8.219178082191782,23.50261388234969,8.315098652651026,49.31506849315068,57.534246575342465
016.mp4,real,300,14.686658420132522,93.0,66.0,22.202366630854176,7.170950209410869,60.0,126.0
017.mp4,real,199,18.069856314679352,58.79396984924624,0.0,26.133141580613128,10.006571048745577,58.79396984924624,58.79396984924624
018.mp4,real,216,18.611481870429117,75.0,0.0,28.365836939605153,8.857126801253083,75.0,75.0
019.mp4,real,300,18.705821426679414,84.00000000000001,0.0,27.918638025071495,9.493004828287333,84.00000000000001,84.00000000000001
020.mp4,real,195,15.236778771736905,55.38461538461539,0.0,24.17637312826261,6.297184415211197,55.38461538461539,55.38461538461539
021.mp4,real,216,15.177151737694519,91.66666666666666,41.66666666666667,21.84879031240588,8.505513162983155,112.5,70.83333333333333
022.mp4,real,163,16.516157880609583,71.77914110429448,0.0,25.527239739243793,7.50507602197537,71.77914110429448,71.77914110429448
023.mp4,real,277,17.409542797444033,71.48014440433214,0.0,27.039485974183442,7.779599620704621,71.48014440433214,71.48014440433214
024.mp4,real,153,16.306729772428824,85.29411764705884,17.647058823529406,22.716950926062204,9.896508618795448,76.47058823529413,94.11764705882354
025.mp4,real,300,20.322942131180433,88.5,75.0,30.995723249881813,9.650161012479057,126.0,51.00000000000001
026.mp4,real,161,16.40736004172106,61.49068322981367,11.180124223602483,24.95899254399958,7.855727539442534,67.08074534161491,55.90062111801243
027.mp4,real,158,10.315835632126081,71.20253164556962,51.26582278481014,14.930406474796225,5.701264789455939,45.56962025316456,96.8354430379747
028.mp4,real,217,15.411855371990633,74.65437788018434,0.0,22.24918325512371,8.574527488857553,74.65437788018434,74.65437788018434
029.mp4,real,208,15.571621775743797,60.57692307692307,0.0,25.39404450205383,5.749199049433762,60.57692307692307,60.57692307692307
030.mp4,real,149,15.710747475502062,96.64429530201342,108.72483221476509,19.81034946669012,11.611145484314005,151.00671140939596,42.281879194630875
031.mp4,real,241,16.939422217318807,63.48547717842324,7.468879668049794,21.463250049250043,12.415594385387568,59.75103734439834,67.21991701244814
032.mp4,real,155,13.03752676912655,98.70967741935483,0.0,18.31825680637671,7.756796731876391,98.70967741935483,98.70967741935483
033.mp4,real,300,15.930268801231225,46.50000000000001,9.0,24.7475834322032,7.112954170259252,51.00000000000001,42.00000000000001
034.mp4,real,204,18.77630498067996,88.23529411764707,0.0,26.588130536718815,10.964479424641109,88.23529411764707,88.23529411764707
035.mp4,real,212,17.917527850650234,80.66037735849056,0.0,24.63915314458161,11.19590255671886,80.66037735849056,80.66037735849056
036.mp4,real,169,14.548858460075696,53.25443786982249,0.0,17.79891407745516,11.298802842696231,53.25443786982249,53.25443786982249
037.mp4,real,227,14.360743568188383,49.55947136563877,11.894273127753301,19.950903264171508,8.770583872205256,55.50660792951542,43.61233480176212
038.mp4,real,153,13.25605048218445,141.1764705882353,47.0588235294118,20.719157925773686,5.792943038595214,117.64705882352942,164.70588235294122
039.mp4,real,300,21.13664075282621,85.5,51.0,32.59298042735749,9.68030107829493,60.0,111.0
040.mp4,real,274,16.20743368831366,68.97810218978103,0.0,25.23707012907664,7.177797247550685,68.97810218978103,68.97810218978103
041.mp4,real,175,13.436069746437912,90.0,25.714285714285708,20.008560242110626,6.8635792507651985,102.85714285714286,77.14285714285715
042.mp4,real,300,17.921605959840747,60.0,0.0,22.76764116425666,13.075570755424838,60.0,60.0
043.mp4,real,248,20.137306644385635,70.76612903225808,3.6290322580645125,27.714118274319564,12.560495014451705,72.58064516129033,68.95161290322582
044.mp4,real,168,14.166997714082328,64.28571428571428,0.0,21.37914523451599,6.9548501936486655,64.28571428571428,64.28571428571428
